text,label
In Stock,normal
Out of Stock,normal
Add to Cart,normal
Buy Now,normal
Sign in,normal
Log in to your account,normal
Ships from Amazon,normal
Sold by TrendyQueen,normal
Deliver to Pakistan,normal
30-day refund / replacement,normal
Quantity: 1,normal
Color: Wine,normal
Size: Medium,normal
"PKR 9,732.47",normal
"PKR 11,123.22",normal
-13%,normal
"List Price: PKR 11,123.22",normal
4.4 out of 5 stars,normal
(627),normal
627 ratings,normal
400+ bought in past month,normal
"Tuesday, July 21",normal
"Clothing, Shoes & Jewelry > Women > Dresses > Casual",normal
Secure transaction,normal
Payment,normal
Ships to your address within 3-5 business days,normal
Free returns on this item,normal
Available in 6 colors,normal
Visit the store page for more items,normal
1 sustainability feature,normal
Details,normal
Add to Wish List,normal
Compare with similar items,normal
Frequently bought together,normal
Customer questions & answers,normal
Report an issue with this product,normal
Track your package,normal
View or change your orders,normal
Your Amazon Prime membership,normal
Currently unavailable in your area,normal
Choose a delivery option at checkout,normal
This item ships in its own packaging,normal
Product dimensions: 10 x 8 x 2 inches,normal
Manufacturer: TrendyQueen Apparel,normal
Country of origin: China,normal
"Fabric: 95% polyester, 5% spandex",normal
"Machine wash cold, tumble dry low",normal
Import duties may apply depending on your region,normal
Estimated delivery within 5 to 7 business days,normal
This seller has an average rating of 4.6,normal
See more product details,normal
Ask a question about this product,normal
Write a customer review,normal
Top critical review,normal
Was this review helpful to you?,normal
Sort reviews by most recent,normal
Customers also viewed these related items,normal
Similar items you might like,normal
Explore more from this brand,normal
See all buying options,normal
"New and used (12) from PKR 8,500",normal
This offer is available for a limited selection of items,normal
Gift options available at checkout,normal
Enter a delivery address to see product availability,normal
Your cart is empty,normal
Proceed to checkout,normal
Apply a promo code at checkout,normal
Estimated tax will be calculated at checkout,normal
Order summary will be emailed after purchase,normal
Continue shopping,normal
Save for later,normal
Item added to your cart,normal
Update quantity,normal
Remove from cart,normal
Move to wish list,normal
Choose your preferred delivery speed,normal
Select a payment method,normal
Edit shipping address,normal
This page was last updated today,normal
All prices include applicable taxes unless stated otherwise,normal
Product information is provided by the manufacturer,normal
Warranty details are listed under product specifications,normal
Customer service is available Monday through Friday,normal
Contact us for help with your order,normal
Read our full return policy,normal
View our privacy policy,normal
Terms of service apply to all purchases,normal
This listing was verified by our marketplace team,normal
Reviewed purchase,normal
Verified Purchase,normal
5 people found this helpful,normal
Showing 1-10 of 342 reviews,normal
Filter reviews by rating,normal
Only registered users can leave a review,normal
Your feedback helps other shoppers,normal
Browse similar categories,normal
View full size chart,normal
Check estimated fit before ordering,normal
This product ships separately from other items in your order,normal
Store pickup is available at select locations,normal
Curbside pickup option available today,normal
This item qualifies for free shipping on orders over a certain amount,normal
Shipping costs are calculated based on your location,normal
International orders may be subject to customs fees,normal
All sales are final on clearance items,normal
Standard delivery takes 3 to 5 business days,normal
Express delivery available for an additional fee,normal
This is a certified pre-owned item,normal
Manufacturer's suggested retail price shown for comparison,normal
Bundle and save when you buy 2 or more,normal
Available for pickup today at select stores,normal
"Only 2 left in stock, order soon",fake_urgency
Selling fast — 14 people have this in their cart,fake_urgency
"Deal ends in 3 hours, don't miss out",fake_urgency
"This price won't last, buy before it's gone",fake_urgency
Flash sale ends at midnight tonight,fake_urgency
"Hurry, offer expires when the timer hits zero",fake_urgency
Almost sold out — act now to secure yours,fake_urgency
"This deal is going fast, limited quantities remain",fake_urgency
Last chance to grab this price before it increases,fake_urgency
"Stock is running low, reserve yours today",fake_urgency
"Offer ends soon, don't miss this one-time deal",fake_urgency
Cart reserved for 10 minutes only,fake_urgency
This item is in high demand and may sell out,fake_urgency
"Limited time offer, ends tonight at 11:59 PM",fake_urgency
Hurry! Only a few units left at this price,fake_urgency
Someone else just added this to their cart,fake_urgency
"Price increases in 2 hours, lock it in now",fake_urgency
Grab it before the sale window closes,fake_urgency
Final total includes a service fee shown only at checkout,hidden_cost
Membership auto-renews unless cancelled 24 hours before the trial ends,hidden_cost
A convenience fee is added automatically during payment,hidden_cost
Processing fee revealed only after you enter your card details,hidden_cost
Shipping protection is pre-selected and adds to your total,hidden_cost
An additional handling charge appears at the final confirmation screen,hidden_cost
Subscription continues at full price after the promotional period ends,hidden_cost
A restocking fee applies if you return this item,hidden_cost
"Currency conversion fee added at checkout, not shown on product page",hidden_cost
Insurance add-on is included by default unless manually removed,hidden_cost
Priority processing fee is charged automatically for all orders,hidden_cost
Digital delivery fee appears only on the payment confirmation page,hidden_cost
Recommended for you based on your recent browsing,disguised_ad
Sponsored result that blends in with regular search listings,disguised_ad
Featured product placed at the top of your search results,disguised_ad
Promoted listing styled to match organic product results,disguised_ad
You may also like this — handpicked just for you,disguised_ad
Editor's pick appears alongside unsponsored articles without a label,disguised_ad
This result is a paid placement from our partner brand,disguised_ad
Suggested item shown in the same style as search results,disguised_ad
