text,label
Free delivery on orders above $50,normal
Standard shipping available,normal
All prices include taxes,normal
No hidden charges,normal
Transparent pricing policy,normal
Only 2 items left!,fake_urgency
Hurry! Limited stock,fake_urgency
Sale ends in 24 hours,fake_urgency
Only 5 customers viewing this item,fake_urgency
Stock running out fast,fake_urgency
Extra fees will apply at payment,hidden_cost
Additional costs are the customer's responsibility,hidden_cost
Your total may be recalculated at checkout,hidden_cost
Price does not cover all mandatory items,hidden_cost
Your payment total will be confirmed later,hidden_cost
Sponsored products you may like,disguised_ad
Recommended for you,disguised_ad
Featured items just for you,disguised_ad
Promoted content,disguised_ad
Advertisement,disguised_ad
The final amount depends on your selections,hidden_cost
There may be extra amounts due after purchase,hidden_cost
The listed price is only a part of what you owe,hidden_cost
You might be asked to pay more before delivery,hidden_cost
Some required items are not included in the base price,hidden_cost
Your order total is subject to adjustment,hidden_cost
The price you pay could be higher than shown,hidden_cost
Extra obligations may arise during checkout,hidden_cost
Your final bill is not yet determined,hidden_cost
Certain options will increase the total,hidden_cost
The displayed cost is incomplete,hidden_cost
Your actual expense may include unlisted items,hidden_cost
Price shown is a preliminary estimate,hidden_cost
You will see the full cost only at the last step,hidden_cost
Some parts of the total are not yet visible,hidden_cost
Your cart does not show all eventual charges,hidden_cost
The amount you pay may be revised upwards,hidden_cost
There are additional amounts you need to cover,hidden_cost
Your purchase total is not locked in yet,hidden_cost
The cost you see excludes certain necessities,hidden_cost
Your payment could include surprise elements,hidden_cost
The final amount is subject to change based on your choices,hidden_cost
Some features incur extra costs not displayed,hidden_cost
Your total is not guaranteed until payment,hidden_cost
The price you see is just the beginning,hidden_cost
Additional expenditure may be required later,hidden_cost
The final amount you owe may be higher than the initial quote.,hidden_cost
We will add any applicable taxes and fees before charging you.,hidden_cost
Your payment total is not final until we calculate all surcharges.,hidden_cost
"Some mandatory costs are only shown after you click ""Checkout"".",hidden_cost
The advertised price does not reflect all required expenditures.,hidden_cost
Your cart currently shows only the subtotal – additional charges will be added.,hidden_cost
You agree to pay any extra fees determined at the time of delivery.,hidden_cost
The price you see may be increased by factors outside our control.,hidden_cost
Certain payment methods incur an additional percentage fee.,hidden_cost
Your total will include a variable fee based on your order weight.,hidden_cost
"A handling fee is added to all returns, deducted from your refund.",hidden_cost
You will be charged a fee for canceling after the free period.,hidden_cost
A re‑stocking charge applies to opened items.,hidden_cost
Your final bill includes a mandatory gratuity not shown earlier.,hidden_cost
The price displayed is for the base model; each additional feature costs extra.,hidden_cost
Your subscription price will increase after the promotional period.,hidden_cost
A one‑time membership fee is added at checkout.,hidden_cost
"Your total includes a ""convenience"" charge for booking online.",hidden_cost
A processing fee is added to all ticket purchases.,hidden_cost
Your final price includes a facility maintenance surcharge.,hidden_cost
"A ""smart delivery"" fee is applied to expedited shipping.",hidden_cost
Your order includes a packaging fee for fragile items.,hidden_cost
"A ""green"" fee is added to offset carbon emissions.",hidden_cost
Your bill includes a regulatory recovery cost mandated by law.,hidden_cost
"A ""consumer protection"" fee is added to every transaction.",hidden_cost
"Your total has a ""technology access"" charge for using our platform.",hidden_cost
"A ""data security"" fee is applied to all online orders.",hidden_cost
"Your invoice includes a ""paperless billing"" fee even if you receive paper.",hidden_cost
"A ""customer experience"" fee is added for phone support.",hidden_cost
