text,label
Free delivery on orders above $50,normal
Standard shipping available,normal
All prices include taxes,normal
No hidden charges,normal
Transparent pricing policy,normal
Price shown is final,normal
What you see is what you pay,normal
Only 2 items left!,fake_urgency
Hurry! Limited stock,fake_urgency
Sale ends in 24 hours,fake_urgency
Only 5 customers viewing this item,fake_urgency
Stock running out fast,fake_urgency
Last chance to buy,fake_urgency
Quick! Offer expires soon,fake_urgency
Extra fees will apply at payment,hidden_cost
Additional costs are the customer's responsibility,hidden_cost
Your total may be recalculated at checkout,hidden_cost
Price does not cover all mandatory items,hidden_cost
Your payment total will be confirmed later,hidden_cost
The final amount depends on your selections,hidden_cost
See final price at checkout,hidden_cost
The price you see does not include taxes or delivery,hidden_cost
Sponsored products you may like,disguised_ad
Recommended for you,disguised_ad
Featured items just for you,disguised_ad
Promoted content,disguised_ad
Advertisement,disguised_ad
Paid promotion,disguised_ad
Sponsored link,disguised_ad
Native advertising content,disguised_ad
